id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,host_experience
8255615,0,98107,Apartment,Entire home/apt,3,1.0,1.0,1.0,90.0,0.0,20.0,1,0,3,30,3,1.0
4053092,1,98107,House,Private room,2,1.0,1.0,1.0,80.0,0.0,0.0,1,0,1,1125,24,3.0
6886633,0,98107,Camper/RV,Entire home/apt,2,1.0,0.0,1.0,75.0,200.0,0.0,1,1,1,7,81,2.0
8820414,1,98107,Apartment,Entire home/apt,3,1.0,2.0,2.0,80.0,0.0,0.0,1,0,1,1125,0,3.0
3052151,0,98107,House,Private room,2,1.0,1.0,1.0,70.0,100.0,0.0,1,0,2,14,19,3.0
2339333,0,98107,House,Entire home/apt,8,3.5,4.0,4.0,350.0,1000.0,200.0,1,0,3,1125,6,2.0
1618842,1,98107,Apartment,Entire home/apt,4,1.0,0.0,1.0,95.0,0.0,40.0,2,1,2,30,115,3.0
888967,1,98107,House,Private room,2,1.0,1.0,1.0,90.0,0.0,0.0,1,0,1,1125,72,4.0
380950,0,98107,House,Entire home/apt,12,2.0,4.0,5.0,435.0,500.0,200.0,9,1,2,1125,12,6.0
8097708,0,98107,House,Entire home/apt,6,1.5,3.0,3.0,250.0,0.0,185.0,1,0,2,1125,1,1.0
5671843,0,98107,House,Private room,2,1.0,1.0,1.0,65.0,0.0,20.0,1,0,14,90,31,2.0
904057,1,98107,House,Entire home/apt,3,1.0,1.0,1.0,95.0,100.0,0.0,2,1,3,60,125,3.0
7161725,0,98107,Townhouse,Private room,3,1.0,1.0,2.0,110.0,0.0,50.0,2,1,2,10,7,2.0
9587410,0,98107,House,Private room,3,1.0,1.0,2.0,50.0,0.0,10.0,1,0,1,1125,2,1.0
9202380,0,98107,Apartment,Entire home/apt,4,1.0,1.0,1.0,95.0,200.0,20.0,2,0,1,1125,0,4.0
2238105,0,98107,House,Entire home/apt,2,1.0,1.0,1.0,100.0,0.0,30.0,1,0,4,15,62,3.0
9545766,0,98107,House,Private room,2,1.0,1.0,2.0,89.0,0.0,0.0,1,0,1,1125,0,2.0
2441908,1,98107,House,Entire home/apt,5,1.0,1.0,3.0,116.0,0.0,60.0,4,1,2,1125,74,2.0
9367465,0,98107,House,Entire home/apt,4,1.0,1.0,2.0,150.0,100.0,50.0,2,1,2,1125,1,1.0
3031415,0,98107,House,Entire home/apt,8,2.0,3.0,3.0,275.0,250.0,100.0,8,1,1,1125,107,3.0
843812,1,98107,House,Entire home/apt,6,2.0,3.0,3.0,180.0,0.0,0.0,1,0,3,21,10,4.0
