host_is_superhost,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,cancellation_policy,host_experience
0,9,Entire home/apt,4,1.0,2.0,2.0,Real Bed,79.0,0.0,35.0,1,0,1,1125,71,strict,1.0
0,9,Entire home/apt,2,1.0,1.0,1.0,Real Bed,115.0,200.0,85.0,2,1,3,365,17,strict,4.0
1,9,Entire home/apt,10,2.5,3.0,5.0,Real Bed,350.0,500.0,125.0,6,1,1,1125,13,strict,2.0
0,9,Entire home/apt,6,3.0,3.0,3.0,Real Bed,295.0,300.0,131.0,5,1,2,7,3,strict,2.0
1,9,Private room,2,1.5,1.0,1.0,Real Bed,70.0,100.0,20.0,0,0,2,1125,19,moderate,3.0
1,9,Private room,2,1.0,1.0,1.0,Real Bed,53.0,0.0,0.0,1,0,14,1125,18,flexible,3.0
0,9,Entire home/apt,4,1.0,2.0,2.0,Real Bed,110.0,100.0,0.0,1,0,2,14,12,flexible,3.0
0,9,Entire home/apt,4,1.0,2.0,2.0,Real Bed,225.0,0.0,45.0,1,0,1,1125,4,flexible,1.0
0,9,Private room,2,1.5,1.0,1.0,Real Bed,35.0,100.0,7.0,2,1,1,1125,7,strict,3.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,55.0,0.0,15.0,1,1,1,1125,23,moderate,1.0
0,13,Private room,2,1.5,1.0,1.0,Real Bed,45.0,100.0,8.0,2,1,1,1125,2,strict,3.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,79.0,0.0,0.0,1,0,1,7,0,flexible,1.0
0,9,Entire home/apt,8,1.0,2.0,6.0,Real Bed,133.0,350.0,50.0,4,1,2,1125,39,moderate,2.0
1,0,Private room,2,1.0,1.0,1.0,Real Bed,65.0,0.0,5.0,1,0,2,1125,64,moderate,2.0
0,0,Private room,1,2.0,1.0,1.0,Real Bed,61.0,0.0,15.0,1,0,1,1125,4,moderate,3.0
0,9,Entire home/apt,4,2.0,3.0,3.0,Real Bed,200.0,200.0,60.0,1,0,4,7,0,flexible,1.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,70.0,250.0,50.0,1,0,5,1125,8,moderate,2.0
0,9,Private room,1,1.0,1.0,1.0,Pull-out Sofa,52.0,0.0,20.0,1,0,30,90,14,moderate,2.0
0,0,Private room,2,1.0,1.0,1.0,Futon,50.0,0.0,0.0,1,1,1,1125,1,flexible,1.0
0,13,Entire home/apt,8,2.5,4.0,4.0,Real Bed,275.0,500.0,50.0,8,1,1,1125,0,strict,3.0
1,9,Entire home/apt,2,1.0,1.0,1.0,Real Bed,149.0,100.0,50.0,1,0,2,1125,85,strict,2.0
0,9,Entire home/apt,8,2.0,2.0,4.0,Real Bed,199.0,150.0,85.0,5,1,1,1125,0,flexible,4.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,89.0,0.0,0.0,2,0,2,14,125,moderate,6.0
1,0,Entire home/apt,3,1.0,1.0,2.0,Real Bed,120.0,200.0,55.0,2,1,2,120,131,strict,5.0
1,9,Entire home/apt,2,1.0,0.0,1.0,Real Bed,85.0,0.0,30.0,1,0,2,1125,49,flexible,5.0
0,9,Private room,4,1.5,1.0,2.0,Real Bed,80.0,200.0,15.0,4,1,1,1125,2,strict,3.0
0,9,Entire home/apt,3,1.0,1.0,3.0,Real Bed,89.0,0.0,55.0,2,1,2,1125,28,strict,1.0
0,9,Entire home/apt,4,1.0,1.0,1.0,Real Bed,99.0,100.0,30.0,2,1,2,1125,111,moderate,6.0
1,0,Entire home/apt,4,1.0,1.0,3.0,Real Bed,110.0,95.0,35.0,2,1,1,16,49,flexible,6.0
0,9,Entire home/apt,6,1.0,2.0,3.0,Real Bed,180.0,250.0,80.0,4,1,3,1125,28,moderate,4.0
0,0,Entire home/apt,4,1.0,2.0,2.0,Real Bed,150.0,0.0,0.0,1,0,2,1125,0,flexible,6.0
0,0,Entire home/apt,4,1.0,1.0,2.0,Real Bed,70.0,0.0,0.0,1,0,1,1125,3,flexible,3.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,70.0,0.0,0.0,1,0,1,1125,0,flexible,3.0
0,9,Private room,1,1.0,1.0,1.0,Real Bed,75.0,100.0,25.0,1,0,4,1125,9,strict,3.0
0,0,Entire home/apt,4,1.0,2.0,2.0,Real Bed,85.0,100.0,0.0,4,1,2,45,12,flexible,4.0
1,9,Private room,2,1.0,1.0,1.0,Real Bed,80.0,250.0,25.0,1,1,1,1125,50,strict,2.0
0,0,Entire home/apt,3,1.0,1.0,1.0,Real Bed,90.0,0.0,20.0,1,0,3,30,3,flexible,1.0
1,9,Private room,2,1.0,1.0,1.0,Real Bed,80.0,0.0,0.0,1,0,1,1125,24,flexible,3.0
0,5,Entire home/apt,2,1.0,0.0,1.0,Pull-out Sofa,75.0,200.0,0.0,1,1,1,7,81,moderate,2.0
1,0,Entire home/apt,3,1.0,2.0,2.0,Real Bed,80.0,0.0,0.0,1,0,1,1125,0,flexible,3.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,70.0,100.0,0.0,1,0,2,14,19,flexible,3.0
0,9,Entire home/apt,8,3.5,4.0,4.0,Real Bed,350.0,1000.0,200.0,1,0,3,1125,6,moderate,2.0
1,0,Entire home/apt,4,1.0,0.0,1.0,Real Bed,95.0,0.0,40.0,2,1,2,30,115,moderate,3.0
1,9,Private room,2,1.0,1.0,1.0,Real Bed,90.0,0.0,0.0,1,0,1,1125,72,flexible,4.0
0,9,Entire home/apt,12,2.0,4.0,5.0,Real Bed,435.0,500.0,200.0,9,1,2,1125,12,strict,6.0
0,9,Entire home/apt,6,1.5,3.0,3.0,Real Bed,250.0,0.0,185.0,1,0,2,1125,1,strict,1.0
0,9,Private room,2,1.0,1.0,1.0,Real Bed,65.0,0.0,20.0,1,0,14,90,31,moderate,2.0
1,9,Entire home/apt,3,1.0,1.0,1.0,Real Bed,95.0,100.0,0.0,2,1,3,60,125,strict,3.0
0,13,Private room,3,1.0,1.0,2.0,Real Bed,110.0,0.0,50.0,2,1,2,10,7,moderate,2.0
0,9,Private room,3,1.0,1.0,2.0,Real Bed,50.0,0.0,10.0,1,0,1,1125,2,flexible,1.0
0,0,Entire home/apt,4,1.0,1.0,1.0,Real Bed,95.0,200.0,20.0,2,0,1,1125,0,flexible,4.0
0,9,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100.0,0.0,30.0,1,0,4,15,62,moderate,3.0
0,9,Private room,2,1.0,1.0,2.0,Real Bed,89.0,0.0,0.0,1,0,1,1125,0,flexible,2.0
1,9,Entire home/apt,5,1.0,1.0,3.0,Real Bed,116.0,0.0,60.0,4,1,2,1125,74,flexible,2.0
0,9,Entire home/apt,4,1.0,1.0,2.0,Real Bed,150.0,100.0,50.0,2,1,2,1125,1,flexible,1.0
