accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,host_experience
4,1.0,1.0,2.0,70.0,250.0,75.0,1,2,1125,12,2.0
4,1.0,1.0,1.0,85.0,0.0,50.0,2,2,90,35,4.0
4,1.0,2.0,2.0,259.0,0.0,155.0,1,3,1125,1,1.0
3,1.0,1.0,1.0,39.0,0.0,0.0,1,1,1125,0,1.0
2,1.5,1.0,1.0,70.0,0.0,0.0,2,2,14,66,4.0
6,1.0,2.0,4.0,166.0,0.0,209.0,1,3,1125,2,5.0
4,1.0,1.0,2.0,99.0,0.0,0.0,2,2,1125,70,4.0
2,1.0,1.0,1.0,110.0,100.0,20.0,1,2,1125,25,2.0
4,1.0,1.0,2.0,100.0,100.0,75.0,2,1,1125,6,4.0
7,1.0,3.0,4.0,250.0,200.0,65.0,1,2,1125,5,4.0
4,1.0,1.0,2.0,150.0,400.0,120.0,1,7,1125,2,4.0
5,1.0,1.0,2.0,200.0,100.0,50.0,1,2,1125,2,2.0
2,1.0,1.0,1.0,95.0,300.0,75.0,2,5,60,1,5.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,6,5.0
4,1.0,2.0,2.0,215.0,250.0,65.0,1,2,31,5,3.0
2,1.0,1.0,1.0,110.0,0.0,15.0,1,1,1125,46,4.0
5,1.0,3.0,3.0,249.0,300.0,100.0,1,4,1125,1,1.0
8,2.0,3.0,3.0,295.0,300.0,95.0,8,1,1125,41,2.0
2,1.0,1.0,1.0,90.0,200.0,40.0,2,2,1125,52,7.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,0,5.0
2,1.0,0.0,1.0,85.0,100.0,8.0,0,2,30,5,2.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,3,5.0
2,1.5,1.0,1.0,40.0,150.0,20.0,1,1,1125,32,4.0
8,2.0,4.0,4.0,245.0,350.0,150.0,4,2,1125,1,6.0
2,1.0,1.0,1.0,130.0,350.0,50.0,1,5,22,2,1.0
4,1.5,3.0,2.0,210.0,0.0,100.0,1,1,1125,6,4.0
6,2.5,2.0,3.0,439.0,399.0,99.0,4,2,1125,11,2.0
1,1.0,1.0,1.0,90.0,0.0,0.0,1,1,1125,0,4.0
3,1.0,1.0,1.0,95.0,100.0,82.0,2,2,15,13,3.0
4,1.0,2.0,3.0,109.0,100.0,60.0,2,2,1125,36,3.0
1,1.0,1.0,1.0,40.0,350.0,28.0,1,4,1125,5,5.0
4,1.0,2.0,1.0,175.0,100.0,75.0,4,3,28,4,5.0
3,1.0,1.0,2.0,80.0,100.0,40.0,2,4,365,69,5.0
2,1.0,1.0,1.0,105.0,0.0,0.0,1,2,1125,3,1.0
8,3.5,3.0,3.0,400.0,250.0,150.0,6,1,1125,0,3.0
4,1.0,2.0,3.0,100.0,500.0,50.0,3,2,1125,12,1.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,7,5.0
6,1.0,2.0,4.0,160.0,500.0,20.0,4,2,30,30,2.0
2,1.0,1.0,1.0,55.0,0.0,0.0,1,1,1125,64,5.0
3,1.0,1.0,2.0,55.0,300.0,30.0,1,3,30,16,5.0
2,2.5,1.0,1.0,150.0,0.0,30.0,1,5,60,14,5.0
2,1.0,1.0,2.0,55.0,0.0,0.0,1,1,1125,0,1.0
6,1.0,2.0,2.0,95.0,200.0,50.0,2,1,1125,17,2.0
4,1.0,2.0,2.0,155.0,500.0,100.0,4,3,1125,1,2.0
2,1.0,1.0,1.0,55.0,0.0,25.0,1,1,1125,17,4.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,4,5.0
7,2.0,3.0,5.0,250.0,400.0,100.0,7,2,28,4,3.0
2,1.0,0.0,1.0,145.0,150.0,50.0,2,1,1125,44,2.0
2,1.0,1.0,1.0,54.0,0.0,15.0,1,1,1125,100,3.0
4,1.0,1.0,1.0,99.0,100.0,0.0,1,2,1125,3,1.0
8,3.0,3.0,3.0,254.0,300.0,125.0,7,1,1125,70,6.0
3,1.0,0.0,2.0,100.0,200.0,45.0,1,2,14,84,4.0
2,1.0,1.0,1.0,65.0,500.0,10.0,2,2,1125,36,4.0
4,1.0,2.0,2.0,150.0,500.0,60.0,2,2,27,86,4.0
2,1.0,1.0,1.0,140.0,0.0,30.0,2,1,1125,1,1.0
3,1.0,1.0,2.0,45.0,250.0,20.0,1,3,31,15,5.0
3,1.0,1.0,2.0,74.0,100.0,15.0,1,1,1125,18,2.0
2,1.0,1.0,2.0,60.0,0.0,0.0,2,1,4,1,2.0
5,2.5,2.0,3.0,350.0,0.0,0.0,1,3,1125,0,2.0
4,1.0,1.0,1.0,135.0,350.0,50.0,2,2,1125,32,3.0
2,1.0,1.0,1.0,85.0,200.0,80.0,2,2,1125,10,2.0
8,2.0,3.0,3.0,310.0,350.0,195.0,4,3,90,47,7.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,3,5.0
5,1.0,2.0,2.0,215.0,200.0,30.0,5,2,1125,0,1.0
8,2.5,3.0,3.0,245.0,200.0,145.0,6,1,1125,38,6.0
2,1.5,1.0,1.0,65.0,0.0,0.0,1,2,1125,25,3.0
4,1.0,1.0,2.0,85.0,100.0,40.0,2,2,1125,0,1.0
2,1.0,1.0,1.0,95.0,0.0,0.0,1,1,1125,0,1.0
2,1.0,1.0,1.0,57.0,0.0,25.0,2,1,60,83,3.0
2,1.0,0.0,1.0,75.0,500.0,20.0,1,1,1125,1,2.0
3,1.0,0.0,1.0,120.0,250.0,22.0,2,1,29,44,2.0
6,1.0,1.0,6.0,120.0,200.0,85.0,2,3,21,32,7.0
2,1.0,1.0,1.0,40.0,0.0,5.0,1,1,1125,4,2.0
12,3.0,6.0,6.0,490.0,500.0,225.0,6,2,45,24,4.0
2,1.0,1.0,1.0,50.0,100.0,15.0,2,2,1125,2,1.0
6,1.0,2.0,2.0,200.0,0.0,45.0,2,2,1125,5,3.0
1,1.0,1.0,1.0,40.0,350.0,35.0,1,4,1125,1,5.0
2,1.0,1.0,2.0,255.0,500.0,95.0,2,4,270,0,4.0
2,1.0,1.0,1.0,95.0,100.0,30.0,1,1,10,88,2.0
2,1.0,1.0,1.0,160.0,100.0,20.0,1,1,1125,1,1.0
2,2.0,1.0,1.0,55.0,0.0,25.0,1,1,365,49,3.0
2,1.0,1.0,1.0,85.0,0.0,20.0,1,2,21,5,1.0
8,1.0,4.0,3.0,325.0,800.0,75.0,4,2,1125,0,2.0
5,1.0,2.0,3.0,144.0,200.0,80.0,1,1,30,32,2.0
2,1.0,1.0,1.0,100.0,100.0,30.0,1,3,1125,0,6.0
4,1.0,0.0,2.0,115.0,0.0,50.0,2,3,1125,86,5.0
2,2.0,1.0,1.0,55.0,0.0,25.0,1,1,365,73,3.0
3,1.0,1.0,1.0,95.0,0.0,0.0,1,2,1125,11,5.0
4,2.0,3.0,3.0,175.0,400.0,100.0,4,3,24,0,2.0
4,1.0,1.0,2.0,95.0,0.0,0.0,2,1,31,118,3.0
2,1.0,1.0,1.0,100.0,100.0,25.0,1,2,1125,0,1.0
2,1.0,1.0,1.0,46.0,0.0,0.0,1,1,1125,0,1.0
2,1.0,1.0,1.0,50.0,0.0,10.0,1,1,1125,1,5.0
6,2.5,3.0,2.0,445.0,0.0,125.0,1,3,1125,6,3.0
2,1.0,1.0,1.0,75.0,0.0,0.0,1,1,1125,7,2.0
4,1.0,2.0,2.0,100.0,100.0,50.0,1,2,1125,5,3.0
2,1.0,1.0,1.0,130.0,500.0,0.0,1,2,1125,2,1.0
5,3.0,3.0,3.0,235.0,150.0,125.0,3,2,1125,5,3.0
4,1.0,1.0,1.0,100.0,0.0,25.0,1,1,1125,1,3.0
2,1.0,1.0,1.0,120.0,0.0,0.0,1,1,1125,2,1.0
4,1.0,0.0,2.0,80.0,150.0,45.0,1,4,1125,21,2.0
5,1.0,2.0,3.0,110.0,0.0,40.0,4,2,1125,60,3.0
9,3.0,4.0,5.0,395.0,500.0,250.0,9,3,30,2,5.0
2,1.0,1.0,1.0,88.0,0.0,35.0,1,1,1125,21,1.0
2,1.0,1.0,1.0,55.0,0.0,20.0,1,3,1125,31,2.0
2,1.0,0.0,1.0,145.0,200.0,100.0,2,2,14,23,3.0
6,2.0,3.0,3.0,425.0,500.0,150.0,1,2,21,38,5.0
2,1.0,1.0,1.0,114.0,250.0,50.0,2,2,1125,66,3.0
3,1.0,1.0,1.0,110.0,300.0,50.0,2,2,1125,63,2.0
5,2.0,2.0,4.0,300.0,150.0,150.0,1,7,30,2,7.0
2,1.0,1.0,1.0,117.0,250.0,50.0,2,2,1125,72,3.0
4,1.0,2.0,2.0,275.0,500.0,100.0,4,2,30,28,5.0
2,1.5,1.0,1.0,85.0,0.0,0.0,2,1,1125,25,1.0
8,1.5,3.0,5.0,300.0,0.0,100.0,1,7,1125,0,5.0
2,1.0,1.0,1.0,53.0,200.0,20.0,1,1,30,27,5.0
4,1.0,2.0,2.0,107.0,0.0,120.0,1,1,1125,24,4.0
6,2.0,2.0,2.0,348.0,300.0,70.0,1,3,1125,6,1.0
4,1.0,2.0,3.0,89.0,100.0,60.0,2,1,1125,10,4.0
7,1.0,3.0,3.0,89.0,450.0,75.0,4,2,1125,52,2.0
2,1.0,1.0,1.0,89.0,250.0,60.0,1,1,1125,11,2.0
2,1.0,1.0,1.0,76.0,0.0,35.0,1,1,1125,4,1.0
4,1.0,2.0,2.0,74.0,0.0,50.0,2,3,20,28,2.0
6,3.0,3.0,2.0,250.0,100.0,100.0,5,3,15,1,5.0
4,1.0,2.0,2.0,180.0,0.0,55.0,1,1,1125,7,1.0
5,1.0,2.0,2.0,179.0,0.0,0.0,1,1,1125,6,1.0
4,1.0,2.0,3.0,115.0,0.0,20.0,2,2,60,17,5.0
5,1.0,2.0,2.0,140.0,0.0,0.0,1,2,1125,8,2.0
4,1.5,2.0,4.0,150.0,500.0,150.0,4,5,125,2,2.0
3,1.0,1.0,2.0,70.0,0.0,0.0,1,1,1125,20,2.0
6,2.0,3.0,3.0,300.0,0.0,0.0,1,3,1125,6,3.0
1,1.0,1.0,1.0,99.0,300.0,40.0,1,1,1125,1,2.0
4,1.0,2.0,2.0,89.0,0.0,35.0,1,1,1125,12,2.0
1,1.0,1.0,1.0,100.0,0.0,0.0,1,1,1125,0,4.0
2,1.5,1.0,1.0,84.0,200.0,50.0,1,2,1125,8,2.0
3,1.0,1.0,1.0,97.0,250.0,25.0,2,4,16,13,2.0
4,1.0,2.0,2.0,116.0,150.0,80.0,1,3,1125,7,3.0
2,1.0,1.0,1.0,150.0,300.0,75.0,1,2,14,9,5.0
4,1.0,2.0,2.0,110.0,200.0,50.0,1,1,15,112,4.0
8,2.5,3.0,4.0,265.0,0.0,169.0,1,3,365,12,6.0
6,1.0,2.0,2.0,115.0,100.0,80.0,2,3,1125,10,3.0
4,1.0,2.0,2.0,100.0,100.0,50.0,4,6,28,0,1.0
2,1.0,1.0,1.0,109.0,0.0,0.0,2,2,14,81,4.0
2,1.5,1.0,1.0,60.0,0.0,0.0,1,1,730,42,7.0
6,3.0,3.0,3.0,249.0,200.0,100.0,1,3,365,37,5.0
7,3.0,3.0,3.0,250.0,300.0,150.0,1,2,30,2,4.0
4,2.0,3.0,1.0,100.0,250.0,300.0,1,26,30,1,4.0
2,1.0,0.0,1.0,74.0,0.0,20.0,2,1,1125,3,1.0
4,1.0,2.0,2.0,235.0,400.0,125.0,2,3,90,1,5.0
5,1.0,2.0,2.0,99.0,200.0,75.0,1,3,1125,4,2.0
3,1.0,1.0,1.0,96.0,0.0,20.0,2,1,1125,56,3.0
4,1.0,1.0,2.0,92.0,95.0,30.0,2,1,1125,41,2.0
4,1.0,1.0,2.0,85.0,0.0,0.0,1,2,1125,6,2.0
4,1.0,1.0,2.0,55.0,100.0,10.0,2,1,1125,11,1.0
4,1.0,1.0,1.0,55.0,150.0,35.0,2,2,35,5,1.0
2,1.0,1.0,1.0,80.0,0.0,0.0,1,1,1125,1,1.0
4,1.0,1.0,1.0,195.0,0.0,0.0,1,2,1125,0,1.0
6,1.0,2.0,3.0,145.0,400.0,0.0,2,3,30,135,5.0
4,1.0,2.0,2.0,180.0,0.0,70.0,2,3,1125,55,3.0
2,1.0,1.0,1.0,50.0,0.0,20.0,1,1,3,0,3.0
4,1.0,2.0,3.0,160.0,0.0,0.0,1,2,1125,0,1.0
5,1.0,2.0,3.0,140.0,0.0,35.0,0,2,1125,5,3.0
2,1.0,1.0,1.0,140.0,500.0,35.0,1,2,1125,14,4.0
2,1.0,1.0,1.0,40.0,0.0,0.0,1,1,31,107,2.0
2,1.0,1.0,1.0,145.0,500.0,80.0,1,2,1125,2,1.0
4,1.0,2.0,2.0,225.0,300.0,80.0,4,3,20,22,5.0
4,1.5,2.0,3.0,325.0,200.0,85.0,1,1,1125,0,1.0
5,2.0,2.0,3.0,199.0,350.0,100.0,2,1,1125,0,4.0
7,1.0,3.0,1.0,450.0,500.0,250.0,5,4,120,1,4.0
4,1.0,2.0,2.0,175.0,400.0,0.0,2,4,14,28,5.0
12,3.0,6.0,6.0,550.0,500.0,300.0,4,4,30,5,4.0
7,2.0,3.0,5.0,149.0,500.0,100.0,1,20,31,0,1.0
2,1.0,1.0,1.0,130.0,0.0,0.0,1,3,120,1,2.0
2,1.0,0.0,1.0,85.0,0.0,30.0,2,1,1125,0,1.0
4,1.0,3.0,3.0,300.0,200.0,100.0,1,4,1125,1,1.0
6,1.5,3.0,3.0,79.0,200.0,75.0,3,2,1125,92,4.0
2,1.0,1.0,1.0,59.0,0.0,0.0,1,2,1125,11,1.0
2,1.0,1.0,1.0,140.0,400.0,125.0,1,2,730,4,5.0
2,1.5,1.0,1.0,60.0,0.0,0.0,1,1,1125,34,4.0
8,2.5,3.0,5.0,215.0,500.0,80.0,1,3,8,0,1.0
5,1.5,2.0,2.0,100.0,0.0,10.0,1,1,14,48,1.0
2,1.5,1.0,1.0,40.0,0.0,0.0,1,1,730,30,7.0
4,1.0,1.0,2.0,99.0,0.0,20.0,1,1,1125,3,1.0
2,1.5,1.0,1.0,45.0,0.0,0.0,1,1,1125,18,7.0
3,1.0,1.0,2.0,75.0,300.0,25.0,1,2,28,78,2.0
2,1.0,0.0,1.0,119.0,0.0,0.0,2,2,1125,25,1.0
2,1.0,1.0,2.0,99.0,0.0,20.0,1,1,1125,1,1.0
6,1.0,3.0,3.0,225.0,250.0,25.0,4,2,1125,2,1.0
2,1.0,1.0,1.0,85.0,95.0,50.0,1,1,35,47,2.0
4,1.0,2.0,2.0,135.0,200.0,80.0,1,4,1125,0,1.0
6,1.5,3.0,3.0,335.0,1000.0,150.0,6,2,1125,14,3.0
2,1.0,1.0,1.0,79.0,300.0,20.0,2,1,4,4,3.0
2,1.0,1.0,1.0,90.0,0.0,25.0,1,2,1125,33,2.0
2,1.5,1.0,1.0,111.0,100.0,5.0,1,1,1125,13,1.0
4,1.0,1.0,2.0,110.0,100.0,75.0,2,3,7,60,6.0
8,2.0,3.0,2.0,325.0,200.0,119.0,6,4,180,6,2.0
2,1.0,1.0,1.0,85.0,400.0,60.0,2,1,180,3,4.0
2,1.0,1.0,1.0,190.0,250.0,50.0,2,2,7,7,2.0
1,1.0,1.0,1.0,65.0,0.0,0.0,1,15,1125,0,1.0
4,2.0,2.0,2.0,250.0,0.0,0.0,1,3,14,0,2.0
1,1.0,1.0,1.0,69.0,0.0,0.0,1,1,1125,0,1.0
5,2.0,2.0,2.0,400.0,600.0,75.0,3,3,1125,8,4.0
2,2.0,1.0,2.0,150.0,0.0,0.0,1,1,1125,0,2.0
6,2.0,2.0,3.0,200.0,0.0,0.0,1,1,1125,0,2.0
4,1.0,1.0,2.0,141.0,500.0,45.0,2,1,1125,29,2.0
2,1.0,0.0,1.0,85.0,0.0,0.0,1,1,1125,2,1.0
8,4.0,4.0,6.0,775.0,500.0,100.0,6,2,1125,9,2.0
4,1.0,1.0,2.0,195.0,0.0,50.0,1,2,1125,0,1.0
4,2.0,2.0,3.0,249.0,0.0,100.0,1,1,1125,0,5.0
2,1.0,1.0,1.0,95.0,0.0,20.0,1,4,1125,6,2.0
3,1.0,1.0,1.0,122.0,0.0,0.0,2,1,1125,11,1.0
4,1.0,2.0,2.0,170.0,0.0,0.0,1,5,1125,2,1.0
2,1.0,1.0,1.0,65.0,0.0,0.0,1,1,1125,4,1.0
2,1.0,1.0,1.0,90.0,0.0,0.0,1,2,1125,0,3.0
2,1.0,1.0,1.0,88.0,0.0,30.0,1,2,15,8,6.0
5,1.0,2.0,2.0,125.0,100.0,25.0,4,2,14,132,4.0
5,2.0,2.0,2.0,145.0,200.0,120.0,4,2,10,3,5.0
6,3.5,3.0,3.0,275.0,995.0,195.0,1,3,1125,2,3.0
1,1.0,1.0,1.0,60.0,0.0,0.0,1,1,1125,7,1.0
2,1.0,1.0,1.0,95.0,200.0,75.0,2,2,90,93,5.0
2,1.0,0.0,1.0,140.0,0.0,60.0,1,1,1125,24,5.0
6,2.0,2.0,3.0,250.0,500.0,95.0,4,2,1125,7,5.0
5,1.0,2.0,3.0,225.0,250.0,150.0,3,3,365,11,5.0
2,1.0,1.0,1.0,60.0,0.0,20.0,1,1,1125,0,2.0
2,1.0,1.0,1.0,95.0,0.0,25.0,2,1,1125,0,4.0
2,1.0,1.0,1.0,65.0,300.0,7.0,1,2,1125,16,3.0
2,1.0,1.0,1.0,78.0,0.0,0.0,1,1,1125,2,2.0
2,1.0,1.0,1.0,59.0,100.0,20.0,2,1,1125,1,3.0
11,3.5,4.0,6.0,400.0,1000.0,150.0,8,2,1125,0,5.0
2,1.0,1.0,1.0,55.0,0.0,15.0,1,2,150,27,2.0
2,1.0,1.0,1.0,129.0,0.0,29.0,2,1,7,14,2.0
2,1.0,1.0,1.0,65.0,0.0,0.0,1,2,1125,28,2.0
2,1.0,1.0,1.0,175.0,0.0,0.0,1,1,1125,0,1.0
6,2.0,3.0,3.0,160.0,200.0,100.0,1,2,1125,15,3.0
2,1.0,1.0,1.0,75.0,100.0,20.0,1,1,3,6,3.0
2,1.0,1.0,1.0,80.0,0.0,10.0,1,2,1125,10,5.0
4,1.0,1.0,2.0,109.0,0.0,15.0,1,1,1125,0,2.0
2,1.0,1.0,1.0,95.0,0.0,50.0,1,1,1125,8,2.0
2,1.0,0.0,1.0,85.0,100.0,50.0,2,1,30,54,1.0
6,1.0,2.0,4.0,99.0,250.0,100.0,4,1,365,66,3.0
2,1.0,1.0,1.0,90.0,0.0,20.0,2,2,14,2,3.0
4,1.5,1.0,2.0,73.0,500.0,45.0,2,2,30,6,4.0
15,3.0,5.0,9.0,400.0,1000.0,200.0,11,2,1125,0,5.0
6,2.0,2.0,2.0,170.0,100.0,75.0,3,4,365,27,4.0
2,1.5,1.0,1.0,48.0,0.0,30.0,2,1,1125,45,2.0
2,2.0,1.0,1.0,90.0,0.0,20.0,1,1,1125,8,2.0
3,1.0,1.0,2.0,82.0,0.0,40.0,2,3,60,181,5.0
4,1.0,2.0,2.0,250.0,0.0,40.0,1,2,1125,0,2.0
4,1.0,2.0,2.0,199.0,0.0,75.0,4,2,1125,3,2.0
2,1.0,1.0,1.0,105.0,0.0,0.0,2,2,7,56,5.0
8,2.0,2.0,2.0,250.0,350.0,50.0,4,1,1125,1,4.0
2,1.0,1.0,1.0,75.0,150.0,15.0,1,2,180,30,3.0
9,2.5,3.0,6.0,250.0,1000.0,150.0,7,1,1125,0,5.0
5,1.0,2.0,2.0,175.0,250.0,100.0,5,2,28,0,5.0
3,1.0,1.0,1.0,95.0,95.0,0.0,2,2,1125,54,3.0
4,1.0,1.0,2.0,150.0,500.0,80.0,2,2,1125,10,5.0
2,1.0,1.0,1.0,65.0,0.0,40.0,1,1,1125,12,2.0
3,1.0,1.0,1.0,120.0,0.0,0.0,1,1,1125,8,1.0
5,1.5,2.0,2.0,300.0,400.0,100.0,1,3,1125,1,1.0
2,1.0,1.0,1.0,89.0,0.0,45.0,0,1,1125,25,1.0
2,1.0,1.0,1.0,109.0,0.0,25.0,1,3,360,46,2.0
3,1.0,1.0,1.0,75.0,250.0,60.0,1,3,1125,1,1.0
6,1.0,2.0,3.0,99.0,250.0,100.0,4,1,1125,10,3.0
5,2.5,3.0,3.0,150.0,200.0,140.0,4,1,14,25,5.0
6,1.5,3.0,4.0,175.0,0.0,60.0,4,1,1125,2,5.0
4,1.0,1.0,2.0,120.0,100.0,40.0,2,2,10,27,2.0
2,1.0,1.0,1.0,45.0,0.0,0.0,1,1,1125,1,1.0
7,1.5,2.0,5.0,150.0,500.0,100.0,4,2,1125,4,5.0
4,1.0,2.0,2.0,95.0,150.0,40.0,1,2,30,0,2.0
2,1.5,1.0,1.0,50.0,0.0,0.0,0,1,10,12,1.0
2,1.0,1.0,1.0,129.0,0.0,10.0,1,1,3,28,2.0
6,3.5,3.0,3.0,295.0,995.0,195.0,1,1,1125,22,3.0
2,1.0,1.0,1.0,99.0,250.0,100.0,1,1,1125,1,3.0
6,2.5,2.0,3.0,175.0,500.0,200.0,6,2,1125,17,3.0
5,2.0,2.0,3.0,150.0,200.0,100.0,6,1,1125,1,3.0
2,1.0,1.0,1.0,109.0,0.0,0.0,1,1,1125,6,4.0
4,1.0,1.0,2.0,85.0,0.0,10.0,2,2,7,15,3.0
3,1.0,1.0,1.0,80.0,0.0,50.0,2,2,40,35,3.0
4,2.5,1.0,2.0,115.0,0.0,0.0,1,1,1125,0,3.0
2,1.0,1.0,1.0,85.0,0.0,0.0,1,2,14,88,2.0
4,2.0,2.0,2.0,200.0,0.0,100.0,1,1,1125,1,1.0
2,1.0,1.0,1.0,169.0,250.0,0.0,0,2,6,42,3.0
4,1.0,1.0,2.0,130.0,2500.0,75.0,4,2,1125,13,1.0
2,1.0,1.0,1.0,79.0,100.0,60.0,2,2,1125,36,1.0
1,1.0,1.0,1.0,125.0,0.0,0.0,1,2,6,11,2.0
2,1.0,1.0,1.0,80.0,0.0,25.0,1,1,1125,78,2.0
2,1.0,1.0,1.0,66.0,0.0,15.0,1,1,1125,6,1.0
2,1.0,1.0,1.0,97.0,0.0,0.0,2,2,1125,58,3.0
2,1.0,1.0,1.0,58.0,0.0,30.0,1,1,1125,11,3.0
2,1.0,1.0,1.0,125.0,150.0,25.0,2,3,1125,0,4.0
2,1.0,1.0,1.0,50.0,0.0,0.0,1,1,1125,0,1.0
10,3.5,5.0,7.0,350.0,500.0,250.0,1,3,1125,3,5.0
4,1.5,2.0,2.0,375.0,500.0,0.0,1,3,60,1,1.0
6,2.0,3.0,5.0,240.0,0.0,25.0,1,3,1125,3,1.0
5,1.0,2.0,2.0,189.0,175.0,45.0,1,2,14,1,1.0
6,3.5,4.0,5.0,250.0,250.0,75.0,5,3,7,1,4.0
2,1.0,0.0,1.0,90.0,250.0,61.0,2,2,180,0,1.0
6,1.0,2.0,2.0,125.0,100.0,35.0,2,1,30,31,4.0
7,1.5,0.0,2.0,155.0,500.0,100.0,7,3,180,1,1.0
8,3.0,4.0,5.0,195.0,0.0,100.0,1,3,21,2,4.0
3,1.0,1.0,2.0,69.0,150.0,25.0,2,1,100,29,4.0
3,1.0,0.0,1.0,200.0,500.0,50.0,2,3,21,12,2.0
4,1.0,2.0,2.0,75.0,200.0,25.0,2,1,14,63,3.0
5,1.0,2.0,3.0,225.0,500.0,100.0,4,3,1125,0,3.0
2,1.0,0.0,1.0,135.0,100.0,65.0,1,2,1125,26,2.0
2,1.0,1.0,1.0,85.0,200.0,35.0,1,2,7,2,5.0
4,1.0,2.0,2.0,110.0,0.0,20.0,2,1,1125,1,2.0
4,1.0,1.0,2.0,110.0,300.0,25.0,3,1,1125,10,2.0
5,1.0,2.0,2.0,250.0,0.0,0.0,1,2,30,1,5.0
2,1.0,1.0,1.0,85.0,0.0,15.0,1,1,1125,11,3.0
1,1.5,1.0,1.0,50.0,500.0,10.0,1,1,1125,11,2.0
2,1.0,1.0,1.0,78.0,0.0,45.0,2,1,15,4,5.0
2,1.0,1.0,1.0,95.0,150.0,40.0,1,1,60,65,4.0
2,1.5,1.0,1.0,95.0,0.0,0.0,2,2,1125,7,1.0
8,1.0,4.0,5.0,295.0,0.0,80.0,1,2,365,0,1.0
6,2.5,3.0,2.0,175.0,200.0,100.0,4,1,1125,2,4.0
2,1.0,1.0,1.0,90.0,250.0,15.0,2,2,1125,19,2.0
1,1.0,1.0,1.0,68.0,0.0,20.0,1,2,1125,1,3.0
4,1.0,1.0,1.0,74.0,100.0,50.0,2,2,10,4,4.0
2,1.0,1.0,1.0,80.0,0.0,15.0,1,5,1125,0,1.0
4,2.0,3.0,3.0,500.0,0.0,85.0,1,1,10,6,4.0
4,1.0,1.0,2.0,115.0,150.0,60.0,2,2,14,11,3.0
8,3.0,4.0,5.0,500.0,1500.0,300.0,1,3,365,0,2.0
4,1.0,1.0,2.0,115.0,0.0,50.0,2,2,1125,53,3.0
2,1.0,1.0,1.0,125.0,0.0,0.0,1,3,1125,21,2.0
8,3.0,3.0,4.0,350.0,0.0,100.0,1,3,21,2,2.0
6,1.0,2.0,3.0,140.0,0.0,50.0,2,1,1125,60,1.0
2,1.0,1.0,1.0,80.0,0.0,30.0,1,2,28,64,3.0
5,2.0,2.0,2.0,145.0,200.0,95.0,2,1,1125,10,4.0
6,1.0,1.0,3.0,150.0,250.0,50.0,2,7,1125,3,1.0
1,1.0,1.0,1.0,65.0,250.0,50.0,1,7,1125,2,4.0
1,1.0,1.0,1.0,50.0,350.0,35.0,1,4,1125,0,5.0
3,1.0,1.0,1.0,65.0,0.0,0.0,1,1,1125,14,5.0
2,1.0,1.0,1.0,45.0,0.0,0.0,1,1,5,0,1.0
2,0.5,1.0,1.0,35.0,0.0,0.0,15,1,1,0,1.0
2,1.0,1.0,1.0,41.0,500.0,10.0,1,1,1125,14,1.0
2,1.0,1.0,1.0,59.0,0.0,0.0,1,1,40,36,2.0
2,1.5,1.0,1.0,49.0,150.0,30.0,1,1,28,0,1.0
2,1.0,1.0,1.0,47.0,500.0,10.0,1,1,1125,28,1.0
2,1.0,1.0,1.0,65.0,0.0,0.0,1,2,1125,14,1.0
2,1.0,1.0,1.0,41.0,0.0,10.0,1,1,6,6,2.0
1,1.0,1.0,1.0,35.0,0.0,0.0,1,2,1125,1,1.0
2,1.0,1.0,1.0,43.0,500.0,10.0,1,1,1125,12,1.0
2,1.0,1.0,1.0,44.0,500.0,10.0,1,1,1125,14,1.0
2,1.0,1.0,1.0,99.0,0.0,0.0,1,1,1125,0,2.0
2,1.0,1.0,1.0,45.0,500.0,10.0,1,1,1125,8,1.0
2,1.0,2.0,2.0,98.0,0.0,50.0,1,3,1125,9,5.0
2,1.0,0.0,1.0,109.0,0.0,49.0,1,1,1125,1,2.0
3,1.0,1.0,1.0,75.0,0.0,20.0,3,4,1125,3,3.0
2,1.0,0.0,1.0,88.0,150.0,20.0,1,1,31,18,5.0
2,1.0,0.0,1.0,98.0,100.0,60.0,1,2,1125,9,4.0
4,1.0,1.0,2.0,75.0,100.0,60.0,1,1,1125,1,4.0
3,2.0,1.0,1.0,40.0,500.0,10.0,1,1,1125,30,1.0
4,1.0,0.0,1.0,85.0,100.0,25.0,2,1,1125,7,3.0
2,1.0,1.0,1.0,100.0,200.0,50.0,1,1,1125,0,1.0
10,2.0,3.0,7.0,275.0,200.0,225.0,7,3,365,17,2.0
4,1.0,1.0,2.0,105.0,100.0,60.0,1,1,1125,29,4.0
3,1.0,1.0,1.0,78.0,100.0,60.0,1,2,1125,7,4.0
4,1.0,1.0,2.0,150.0,250.0,150.0,4,7,1125,8,4.0
3,1.0,1.0,1.0,95.0,150.0,60.0,1,1,1125,3,4.0
5,2.0,2.0,3.0,155.0,150.0,75.0,2,1,1125,0,4.0
