id,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,guests_included,extra_people,minimum_nights
5470629,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,120.0,60.0,2,1,2
2950213,98107,Apartment,Entire home/apt,4,1.0,1.0,1.0,200.0,0.0,4,1,2
9015088,98117,Apartment,Entire home/apt,5,2.0,2.0,2.0,135.0,50.0,4,1,1
3979496,98107,House,Private room,2,1.0,1.0,1.0,70.0,0.0,2,0,1
7501919,98107,Apartment,Entire home/apt,2,1.0,1.0,2.0,150.0,30.0,1,0,2
4732995,98107,Apartment,Entire home/apt,3,1.0,1.0,1.0,200.0,50.0,1,0,2
7134759,98107,Townhouse,Private room,2,1.0,1.0,1.0,60.0,55.0,1,0,1
4532538,98107,House,Entire home/apt,5,3.0,3.0,5.0,180.0,150.0,1,0,5
7534398,98107,Apartment,Private room,3,1.0,1.0,1.0,69.0,0.0,2,1,1
9387189,98107,Apartment,Entire home/apt,3,1.0,0.0,1.0,90.0,25.0,2,1,1
6337492,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,80.0,0.0,2,0,1
10231701,98107,Townhouse,Private room,2,1.5,1.0,1.0,65.0,25.0,1,0,1
1609922,98107,House,Entire home/apt,5,1.5,2.0,2.0,150.0,90.0,2,1,4
4236723,98107,House,Entire home/apt,6,1.5,2.0,3.0,195.0,0.0,4,1,1
7843837,98107,Apartment,Entire home/apt,4,1.0,1.0,1.0,149.0,0.0,1,0,1
3076065,98107,House,Entire home/apt,5,3.0,2.0,2.0,224.0,120.0,1,0,3
6423204,98107,House,Entire home/apt,3,1.0,2.0,2.0,115.0,40.0,2,1,3
8338849,98107,House,Private room,2,1.0,1.0,1.0,55.0,0.0,1,0,1
20928,98107,House,Entire home/apt,2,1.0,1.0,1.0,79.0,10.0,1,0,2
3344977,98107,House,Private room,2,1.0,1.0,1.0,80.0,15.0,1,0,1
7604621,98107,Townhouse,Entire home/apt,2,1.0,0.0,1.0,85.0,35.0,1,0,2
3303978,98107,House,Entire home/apt,2,1.0,1.0,1.0,80.0,25.0,2,1,2
7067082,98107,Loft,Private room,3,1.0,1.0,1.0,49.0,7.0,1,0,1
3121829,98107,House,Entire home/apt,4,2.5,3.0,2.0,100.0,85.0,1,0,1
2539881,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,79.0,0.0,1,0,1
3678718,98107,Apartment,Entire home/apt,2,1.0,0.0,1.0,75.0,50.0,2,1,2
4694479,98107,House,Private room,2,1.0,1.0,1.0,57.0,15.0,0,0,2
6646843,98107,Apartment,Entire home/apt,4,1.0,1.0,2.0,99.0,45.0,2,1,2
1364440,98107,Apartment,Private room,1,1.0,1.0,1.0,55.0,0.0,1,0,2
1781873,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,96.0,0.0,2,1,2
4138423,98107,House,Entire home/apt,4,1.0,1.0,1.0,99.0,30.0,2,1,1
5562674,98107,House,Entire home/apt,4,1.0,2.0,2.0,79.0,35.0,1,0,1
1789341,98107,House,Entire home/apt,2,1.0,1.0,1.0,115.0,85.0,2,1,3
4550099,98107,House,Entire home/apt,6,3.0,3.0,3.0,295.0,131.0,5,1,2
1198799,98107,House,Private room,2,1.5,1.0,1.0,70.0,20.0,0,0,2
5308429,98117,House,Private room,2,1.0,1.0,1.0,53.0,0.0,1,0,14
