id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,host_experience
6856295,0,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,65.0,,,2,1,1,1125,46,97.0,moderate,1.0
6881188,0,98107,House,Entire home/apt,6,2.5,3.0,4.0,Real Bed,375.0,300.0,100.0,1,0,1,1125,23,96.0,moderate,1.0
1579615,1,98107,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,97.0,100.0,45.0,2,1,2,1125,44,98.0,strict,3.0
3766866,1,98107,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,145.0,150.0,45.0,2,1,2,35,14,97.0,moderate,2.0
2406966,1,98107,Apartment,Entire home/apt,5,1.0,2.0,4.0,Real Bed,129.0,250.0,75.0,1,0,5,1125,12,100.0,strict,7.0
4872699,0,98107,House,Entire home/apt,6,1.5,3.0,4.0,Real Bed,197.0,,180.0,1,0,4,29,1,100.0,strict,2.0
5470629,1,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,120.0,350.0,60.0,2,1,2,28,25,99.0,moderate,1.0
2950213,1,98107,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,200.0,150.0,,4,1,2,90,35,95.0,flexible,2.0
9015088,0,98117,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,135.0,100.0,50.0,4,1,1,1125,5,100.0,moderate,1.0
3979496,1,98107,House,Private room,2,1.0,1.0,1.0,Futon,70.0,250.0,,2,0,1,1125,31,95.0,moderate,3.0
7501919,0,98107,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,150.0,250.0,30.0,1,0,2,1125,7,97.0,flexible,1.0
4732995,0,98107,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,200.0,,50.0,1,0,2,1125,4,95.0,moderate,2.0
7134759,0,98107,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,60.0,,55.0,1,0,1,26,16,98.0,moderate,2.0
4532538,0,98107,House,Entire home/apt,5,3.0,3.0,5.0,Real Bed,180.0,,150.0,1,0,5,1125,1,100.0,strict,2.0
7534398,0,98107,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,69.0,,,2,1,1,1125,8,100.0,moderate,1.0
9387189,0,98107,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,90.0,,25.0,2,1,1,1125,1,100.0,flexible,5.0
6337492,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,80.0,,,2,0,1,1125,5,92.0,flexible,1.0
10231701,0,98107,Townhouse,Private room,2,1.5,1.0,1.0,Real Bed,65.0,,25.0,1,0,1,1125,0,,flexible,1.0
1609922,1,98107,House,Entire home/apt,5,1.5,2.0,2.0,Real Bed,150.0,100.0,90.0,2,1,4,1125,26,94.0,moderate,4.0
4236723,0,98107,House,Entire home/apt,6,1.5,2.0,3.0,Real Bed,195.0,,,4,1,1,1125,113,94.0,moderate,4.0
7843837,0,98107,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,149.0,,,1,0,1,7,0,,flexible,2.0
3076065,1,98107,House,Entire home/apt,5,3.0,2.0,2.0,Real Bed,224.0,600.0,120.0,1,0,3,1125,15,96.0,strict,2.0
6423204,0,98107,House,Entire home/apt,3,1.0,2.0,2.0,Real Bed,115.0,200.0,40.0,2,1,3,1125,44,91.0,strict,1.0
8338849,0,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,55.0,,,1,0,1,1125,7,94.0,flexible,1.0
6401209,1,98107,House,Entire home/apt,8,2.5,4.0,5.0,Real Bed,338.0,500.0,200.0,6,0,3,1125,13,97.0,strict,1.0
20928,1,98107,House,Entire home/apt,2,1.0,1.0,1.0,Futon,79.0,,10.0,1,0,2,14,44,97.0,moderate,6.0
3344977,1,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,80.0,100.0,15.0,1,0,1,31,56,96.0,moderate,2.0
7604621,0,98107,Townhouse,Entire home/apt,2,1.0,0.0,1.0,Real Bed,85.0,200.0,35.0,1,0,2,1125,11,95.0,moderate,1.0
3303978,1,98107,House,Entire home/apt,2,1.0,1.0,1.0,Futon,80.0,,25.0,2,1,2,100,39,98.0,moderate,2.0
7067082,1,98107,Loft,Private room,3,1.0,1.0,1.0,Real Bed,49.0,,7.0,1,0,1,1125,10,90.0,moderate,2.0
3121829,0,98107,House,Entire home/apt,4,2.5,3.0,2.0,Real Bed,100.0,300.0,85.0,1,0,1,1125,6,90.0,moderate,4.0
2539881,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,79.0,,,1,0,1,1125,4,85.0,flexible,2.0
3678718,1,98107,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,75.0,250.0,50.0,2,1,2,14,79,96.0,moderate,3.0
4694479,1,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,57.0,100.0,15.0,0,0,2,28,50,96.0,moderate,2.0
6646843,0,98107,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,99.0,,45.0,2,1,2,1125,28,89.0,moderate,1.0
1364440,0,98107,Apartment,Private room,1,1.0,1.0,1.0,Futon,55.0,,,1,0,2,10,20,100.0,moderate,6.0
1781873,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,96.0,,,2,1,2,14,57,92.0,strict,4.0
4138423,0,98107,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,99.0,100.0,30.0,2,1,1,1125,38,94.0,moderate,6.0
5562674,0,98107,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,79.0,,35.0,1,0,1,1125,71,95.0,strict,1.0
1789341,0,98107,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,115.0,200.0,85.0,2,1,3,365,17,99.0,strict,4.0
4672934,1,98107,House,Entire home/apt,10,2.5,3.0,5.0,Real Bed,350.0,500.0,125.0,6,1,1,1125,13,98.0,strict,2.0
4550099,0,98107,House,Entire home/apt,6,3.0,3.0,3.0,Real Bed,295.0,300.0,131.0,5,1,2,7,3,93.0,strict,2.0
1198799,1,98107,House,Private room,2,1.5,1.0,1.0,Real Bed,70.0,100.0,20.0,0,0,2,1125,19,98.0,moderate,3.0
5308429,1,98117,House,Private room,2,1.0,1.0,1.0,Real Bed,53.0,,,1,0,14,1125,18,99.0,flexible,3.0
2769088,0,98107,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,110.0,100.0,,1,0,2,14,12,71.0,flexible,3.0
7603135,0,98107,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,225.0,,45.0,1,0,1,1125,4,95.0,flexible,1.0
9374365,0,98107,House,Private room,2,1.5,1.0,1.0,Real Bed,35.0,100.0,7.0,2,1,1,1125,7,97.0,strict,3.0
6106498,0,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,55.0,,15.0,1,1,1,1125,23,97.0,moderate,1.0
9331449,0,98107,Townhouse,Private room,2,1.5,1.0,1.0,Real Bed,45.0,100.0,8.0,2,1,1,1125,2,90.0,strict,3.0
8799162,0,98107,House,Private room,2,1.0,1.0,1.0,Real Bed,79.0,,,1,0,1,7,0,,flexible,1.0
4317390,0,98107,House,Entire home/apt,8,1.0,2.0,6.0,Real Bed,133.0,350.0,50.0,4,1,2,1125,39,95.0,moderate,2.0
