20200709_192406;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 300, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9226949992145235;18.54339328384232;10.746231421359813
20200709_192528;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9228901154945978;18.519976921506316;10.719155433193949
20200709_192634;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 370, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9228901154945978;18.519976921506316;10.719155433193949
20200709_192945;xgboost;0.9182721966216365;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9208450103845816;18.76396278636473;10.984903185664871
20200709_193419;xgboost;0.9189872184702221;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.3, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9227506811683177;18.536713778280035;10.844836751128708
20200709_193740;xgboost;0.9167808850338933;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.1, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9186693354360843;19.020090337763296;11.288303439249129
20200709_193949;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9228901154945978;18.519976921506316;10.719155433193949
20200709_194057;xgboost;0.9188176103448861;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 2, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9226497086029743;18.548824489069645;10.728902453628374
20200709_194228;xgboost;0.9190846092233504;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 0.5, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9225117861005137;18.56535423214478;10.7233146400007
20200709_194322;xgboost;0.9186378201211648;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 2, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9234197148583403;18.456268701479836;10.774881835204475
20200709_194501;xgboost;0.9198609636308812;{'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9230235616636946;18.503944669789817;10.755815192693873
20200709_194552;xgboost;0.917994659899812;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9228901154945978;18.519976921506316;10.719155433193949
20200709_194653;xgboost;0.9194359849245268;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.8, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9223968429461292;18.5791187099747;10.850310269028675
20200709_194746;xgboost;0.9192377467103447;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 1, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9227286496576856;18.539356925809866;10.781367450836731
20200709_194843;xgboost;0.9191416743498001;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 0.9, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9236184641726973;18.43230330461862;10.72465102574043
20200709_194949;xgboost;0.9179080684333519;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 1, 'subsample': 0.9, 'tree_method': 'auto'};0.9193301711209362;18.942660805047826;11.004489806379711
20200709_195044;xgboost;0.9181466062526156;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 10, 'subsample': 1, 'tree_method': 'auto'};0.9212602666314771;18.714679102948562;10.952001076121922
20200709_195139;xgboost;0.9186448325059862;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 100, 'reg_lambda': 2, 'subsample': 1, 'tree_method': 'auto'};0.9220256383902941;18.623501091608098;10.876790590060553
20200709_195250;xgboost;0.9194466447332704;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 50, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9211893564941297;18.723104085912787;10.583761401161293
20200709_195406;xgboost;0.9170339081086392;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 25, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9183470450041947;19.057738697749635;10.708228809595193
20200709_195506;xgboost;0.9194300153857057;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 40, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9201535499982099;18.845741113047023;10.653701771446775
20200709_195614;xgboost;0.9209590062808718;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 55, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9206238224331063;18.790161179840613;10.719779585579266
20200709_195738;xgboost;-0.5510284439472769;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 1, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 50, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};-0.5569172603994099;83.21817388266471;56.45889293949581
20200709_195913;xgboost;0.9194466447332704;{'booster': 'gbtree', 'colsample_bylevel': 0.9, 'colsample_bynode': 1, 'colsample_bytree': 0.9, 'eta': 0.1, 'gamma': 1, 'learning_rate': 0.2, 'max_delta_step': 0, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 350, 'reg_alpha': 50, 'reg_lambda': 1, 'subsample': 1, 'tree_method': 'auto'};0.9211893564941297;18.723104085912787;10.583761401161293
